slug,name,product_type,category,template_type,currency,unit_amount,price_usd,stripe_product_id,stripe_price_id,stripe_price_id_usd,stripe_price_id_cad,stripe_payment_link_id,stripe_payment_link_url,stripe_payment_link_usd,stripe_payment_link_cad,placeholder_label
us-f1-student-visa-ds160-i20-pack,USA F-1 Student Visa DS-160 + I-20 Preparation Pack,template,Templates,USA Study,usd,2900,29,prod_UV4GT29u8qYl7n,price_1TW47tFy6WULRNinqqVVQF6G,price_1TW47tFy6WULRNinqqVVQF6G,,plink_1TW47uFy6WULRNin62jlzhpE,https://buy.stripe.com/00wfZh3G90iGaD18fygYU0m,https://buy.stripe.com/00wfZh3G90iGaD18fygYU0m,,{{stripe_payment_link_us_f1_student_visa_ds160_i20_pack}}
us-f1-interview-home-ties-pack,USA F-1 Interview + Home Ties Evidence Pack,template,Templates,USA Study,usd,1900,19,prod_UV4Gmjgc6E3VrZ,price_1TW47vFy6WULRNin1ANajE8N,price_1TW47vFy6WULRNin1ANajE8N,,plink_1TW47vFy6WULRNinfXlROVPX,https://buy.stripe.com/28EcN5ekNghE26v7bugYU0n,https://buy.stripe.com/28EcN5ekNghE26v7bugYU0n,,{{stripe_payment_link_us_f1_interview_home_ties_pack}}
us-b1b2-visitor-visa-ds160-invitation-pack,USA B-1/B-2 Visitor Visa DS-160 + Invitation Pack,template,Templates,USA Visitor,usd,1900,19,prod_UV4Gg7qANfUWPt,price_1TW47wFy6WULRNinRE6pSkk5,price_1TW47wFy6WULRNinRE6pSkk5,,plink_1TW47xFy6WULRNinvepEWIdS,https://buy.stripe.com/7sY9ATa4xc1o7qPcvOgYU0o,https://buy.stripe.com/7sY9ATa4xc1o7qPcvOgYU0o,,{{stripe_payment_link_us_b1b2_visitor_visa_ds160_invitation_pack}}
us-opt-i765-application-prep-pack,USA F-1 OPT I-765 Application Preparation Pack,template,Templates,USA Work After Study,usd,2500,25,prod_UV4GCJ14gXHeSr,price_1TW47yFy6WULRNinjqi74jSU,price_1TW47yFy6WULRNinjqi74jSU,,plink_1TW47yFy6WULRNinsVXmkENR,https://buy.stripe.com/6oU5kDekN1mK7qP53mgYU0p,https://buy.stripe.com/6oU5kDekN1mK7qP53mgYU0p,,{{stripe_payment_link_us_opt_i765_application_prep_pack}}
us-stem-opt-i765-i983-companion-pack,USA STEM OPT I-765 + I-983 Companion Pack,template,Templates,USA Work After Study,usd,2900,29,prod_UV4GklSSSKoe2r,price_1TW47zFy6WULRNinsLmJfi7a,price_1TW47zFy6WULRNinsLmJfi7a,,plink_1TW480Fy6WULRNinR6b107Y1,https://buy.stripe.com/bJe00ja4x8PcaD1fI0gYU0q,https://buy.stripe.com/bJe00ja4x8PcaD1fI0gYU0q,,{{stripe_payment_link_us_stem_opt_i765_i983_companion_pack}}
us-i134-financial-support-companion-pack,USA I-134 Financial Support Companion Pack,template,Templates,USA Financial Support,usd,1700,17,prod_UV4GQHHaYf9I5u,price_1TW481Fy6WULRNinqldCQJrf,price_1TW481Fy6WULRNinqldCQJrf,,plink_1TW482Fy6WULRNinT9cXPQMW,https://buy.stripe.com/9B6bJ1gsV3uSbH5cvOgYU0r,https://buy.stripe.com/9B6bJ1gsV3uSbH5cvOgYU0r,,{{stripe_payment_link_us_i134_financial_support_companion_pack}}
canada-study-permit-complete-pack,Canada Study Permit Complete Application Preparation Pack,template,Templates,Canada Study,usd,2900,29,prod_UV4GHeENd9Mn82,price_1TW482Fy6WULRNin2Qtlw7Dw,price_1TW482Fy6WULRNin2Qtlw7Dw,,plink_1TW483Fy6WULRNinD2tbFbNw,https://buy.stripe.com/5kQ7sL2C50iG9yXanGgYU0s,https://buy.stripe.com/5kQ7sL2C50iG9yXanGgYU0s,,{{stripe_payment_link_canada_study_permit_complete_pack}}
canada-proof-of-funds-sponsor-pack,Canada Proof of Funds + Sponsor Support Pack,template,Templates,Canada Study,usd,1900,19,prod_UV4Ga4LguThCYD,price_1TW484Fy6WULRNin8xIREJ1Y,price_1TW484Fy6WULRNin8xIREJ1Y,,plink_1TW485Fy6WULRNinnmQ4QKHU,https://buy.stripe.com/8x29AT90tghE12ranGgYU0t,https://buy.stripe.com/8x29AT90tghE12ranGgYU0t,,{{stripe_payment_link_canada_proof_of_funds_sponsor_pack}}
canada-study-plan-letter-of-explanation-pack,Canada Study Plan + Letter of Explanation Pack,template,Templates,Canada Study,usd,1700,17,prod_UV4GLQRwdNU0Pg,price_1TW486Fy6WULRNin3UdhmvWZ,price_1TW486Fy6WULRNin3UdhmvWZ,,plink_1TW486Fy6WULRNinF3u7mM3D,https://buy.stripe.com/6oU00j6Sle9wdPdfI0gYU0u,https://buy.stripe.com/6oU00j6Sle9wdPdfI0gYU0u,,{{stripe_payment_link_canada_study_plan_letter_of_explanation_pack}}
canada-trv-visitor-visa-pack,Canada Temporary Resident Visa Visitor Pack,template,Templates,Canada Visitor,usd,1900,19,prod_UV4GwkpQJkK2mx,price_1TW487Fy6WULRNin3vTPK4nJ,price_1TW487Fy6WULRNin3vTPK4nJ,,plink_1TW488Fy6WULRNin23kusgiZ,https://buy.stripe.com/fZu7sLgsVd5s3az7bugYU0v,https://buy.stripe.com/fZu7sLgsVd5s3az7bugYU0v,,{{stripe_payment_link_canada_trv_visitor_visa_pack}}
canada-work-permit-outside-canada-pack,Canada Work Permit Outside Canada Preparation Pack,template,Templates,Canada Work,usd,2500,25,prod_UV4GhrM1fZT0cD,price_1TW489Fy6WULRNinft3qbx4n,price_1TW489Fy6WULRNinft3qbx4n,,plink_1TW489Fy6WULRNinpKiayJ01,https://buy.stripe.com/eVq3cv5Oh3uS6mLbrKgYU0w,https://buy.stripe.com/eVq3cv5Oh3uS6mLbrKgYU0w,,{{stripe_payment_link_canada_work_permit_outside_canada_pack}}
canada-pgwp-application-pack,Canada PGWP Post-Graduation Work Permit Pack,template,Templates,Canada Work After Study,usd,2500,25,prod_UV4GWbWau7a8Qu,price_1TW48AFy6WULRNin8lLBP17H,price_1TW48AFy6WULRNin8lLBP17H,,plink_1TW48BFy6WULRNinFNzi0sfM,https://buy.stripe.com/5kQ5kDdgJ5D0cL9cvOgYU0x,https://buy.stripe.com/5kQ5kDdgJ5D0cL9cvOgYU0x,,{{stripe_payment_link_canada_pgwp_application_pack}}
canada-family-information-travel-history-pack,Canada Family Information + Travel History Organizer,template,Templates,Canada General,usd,1200,12,prod_UV4G2h4nhve0fL,price_1TW48CFy6WULRNin1nJYIU7A,price_1TW48CFy6WULRNin1nJYIU7A,,plink_1TW48CFy6WULRNinosK0jAi9,https://buy.stripe.com/28EcN5gsVc1o8uT53mgYU0y,https://buy.stripe.com/28EcN5gsVc1o8uT53mgYU0y,,{{stripe_payment_link_canada_family_information_travel_history_pack}}
us-canada-refusal-reapplication-response-pack,USA/Canada Refusal Review + Reapplication Response Pack,template,Templates,Refusal Recovery,usd,2900,29,prod_UV4GI8Jl4kpqvk,price_1TW48DFy6WULRNinlbqxJW95,price_1TW48DFy6WULRNinlbqxJW95,,plink_1TW48EFy6WULRNinldYvZ2oE,https://buy.stripe.com/28E4gz4Kdc1o4eDgM4gYU0z,https://buy.stripe.com/28E4gz4Kdc1o4eDgM4gYU0z,,{{stripe_payment_link_us_canada_refusal_reapplication_response_pack}}
universal-client-intake-document-review-kit,Universal Immigration Client Intake + Document Review Kit,template,Templates,General Intake,usd,1500,15,prod_UV4GGoX0lavQsv,price_1TW48FFy6WULRNinLPgKMbdg,price_1TW48FFy6WULRNinLPgKMbdg,,plink_1TW48GFy6WULRNinH5hhEvIV,https://buy.stripe.com/5kQ5kD0tX6H47qP0N6gYU0A,https://buy.stripe.com/5kQ5kD0tX6H47qP0N6gYU0A,,{{stripe_payment_link_universal_client_intake_document_review_kit}}
premium-usa-canada-study-work-mega-bundle,Premium USA + Canada Study/Work Template Mega Bundle,template,Templates,Bundle,usd,7900,79,prod_UV4GpEiMNGy9Ta,price_1TW48GFy6WULRNinfmjFPWAl,price_1TW48GFy6WULRNinfmjFPWAl,,plink_1TW48HFy6WULRNinLOuUez3z,https://buy.stripe.com/fZuaEX2C53uSfXl1RagYU0B,https://buy.stripe.com/fZuaEX2C53uSfXl1RagYU0B,,{{stripe_payment_link_premium_usa_canada_study_work_mega_bundle}}
